ID,MNAIS,AGEXACTM,DEPDOM,AGEXACTP,count
708,7,19,99,30,2
709,8,38,99,34,2
710,4,33,99,30,4
713,11,21,99,23,1
714,10,26,99,43,3
718,1,24,99,26,3
719,1,26,99,30,4
732,2,37,99,45,4
733,2,26,99,40,2
736,2,39,99,34,2
739,2,35,99,33,5
740,3,39,99,44,4
742,5,22,99,29,2
743,5,39,99,30,1
747,7,18,99,34,1
748,7,28,99,27,5
749,7,25,99,33,5
757,9,30,99,40,2
762,11,42,99,42,3
766,12,35,99,42,5
768,2,39,99,42,5
776,9,28,99,38,4
779,11,28,99,36,5
781,1,22,99,19,1
783,5,24,99,28,4
784,8,30,99,27,3
785,8,30,99,27,3
787,10,22,99,26,4
788,10,23,99,30,2
790,12,23,99,29,2
794,5,26,99,26,4
796,12,29,99,44,1
798,11,25,99,37,3
801,1,34,99,30,1
803,6,38,99,44,5
804,7,36,99,43,3
808,2,35,99,30,2
812,5,20,99,25,3
813,5,33,99,29,3
814,5,34,99,32,5
816,5,25,99,46,4
819,7,25,99,40,1
823,10,29,99,23,1
824,10,31,99,28,2
827,11,26,99,23,1
828,12,26,99,36,2
831,8,35,99,28,3
833,5,31,99,28,2
839,4,35,99,32,4
845,1,25,99,41,2
848,1,33,99,43,3
849,1,26,99,33,3
850,2,24,99,25,3
852,2,29,99,42,2
858,4,29,99,27,2
868,5,25,99,28,4
870,5,21,99,24,3
875,7,34,99,31,5
877,9,37,99,44,5
880,10,37,99,35,2
884,11,33,99,45,3
886,11,36,99,34,5
887,12,36,99,34,5
891,5,32,99,41,3
892,6,31,99,40,3
897,2,22,99,26,4
903,9,32,99,44,4
905,9,28,99,39,3
911,8,22,99,23,3
913,10,32,99,30,5
917,7,35,99,33,5
918,4,38,99,42,1
921,12,35,99,33,5
923,2,39,99,43,4
930,12,23,99,38,1
933,2,26,99,40,2
935,9,30,99,27,3
936,9,29,99,39,2
943,5,36,99,43,3
944,5,38,99,39,5
949,7,25,99,22,1
950,9,17,99,19,2
952,9,33,99,42,3
953,9,19,99,21,1
957,12,22,99,23,3
961,4,29,99,43,3
962,10,27,99,36,4
965,1,40,99,45,5
966,2,39,99,38,4
972,12,43,99,43,2
974,7,24,99,28,4
976,2,34,99,32,5
979,4,40,99,41,5
981,5,22,99,30,3
982,5,41,99,45,1
992,7,28,99,27,5
995,8,40,99,45,5
996,12,18,99,18,1
997,2,25,99,36,2
999,8,34,99,32,5
1002,10,23,99,41,1
1010,10,26,99,25,2
1012,2,38,99,39,5
1018,9,32,99,40,2
1023,11,21,99,21,2
1024,4,33,99,45,3
1025,7,36,99,35,5
1026,8,38,99,43,4
1028,2,29,99,41,2
1029,3,33,99,39,4
1031,4,33,99,41,5
1032,5,31,99,40,3
1036,6,42,99,44,5
1040,8,31,99,45,3
1043,9,19,99,28,2
1046,11,40,99,45,5
1053,9,38,99,40,5
1056,10,26,99,42,2
1057,10,26,99,42,2
1063,1,31,99,40,3
1069,4,24,99,32,1
1072,5,21,99,31,1
1074,6,42,99,44,5
1079,8,29,99,35,5
1081,9,29,99,41,2
1083,10,32,99,30,5
1084,10,30,99,45,3
1085,10,38,99,40,5
1086,12,27,99,37,5
1087,5,41,99,42,2
1089,5,37,99,41,2
1092,3,28,99,41,3
1094,7,20,99,46,1
1097,12,28,99,38,4
1099,12,26,99,31,3
1101,6,31,99,44,4
1103,5,34,99,45,2
1105,8,23,99,28,2
1109,4,29,99,34,5
1110,5,18,99,25,1
1111,11,21,99,24,3
1112,11,37,99,41,2
1113,1,31,99,26,1
1116,10,25,99,45,1
1119,2,33,99,31,3
1128,7,42,99,37,1
1129,7,30,99,45,3
1136,1,37,99,39,5
1138,4,23,99,29,2
1140,6,38,99,43,4
1141,9,39,99,36,2
1142,11,25,99,46,4
1143,7,42,99,44,5
1144,7,32,99,27,2
1145,2,22,99,23,3
1148,10,40,99,41,5
1154,8,36,99,35,5
1155,7,34,99,31,5
1156,9,25,99,23,2
1157,3,26,99,34,5
1159,12,33,99,30,4
1165,2,26,99,38,2
1166,1,22,99,28,1
1167,5,37,99,33,3
1168,4,40,99,33,2
1173,4,34,99,44,5
1175,4,33,99,37,3
1176,4,24,99,25,3
1177,7,33,99,42,3
1179,7,42,99,40,2
1180,8,33,99,30,4
1181,9,38,99,44,5
1183,8,33,99,41,5
1187,1,27,99,43,1
1189,1,24,99,37,1
